"Win–loss records and final positions in league/division standings, by season, with playoff results and award winners",,,,,,,,,,
MLB season,Yankees season,League[11],Division[11],Finish[11],Wins[11],Losses[11],Win%[11],GB[11][c],Playoffs[12],Awards
1964,1964,AL *,—,1st,99,63,0.611,—,"Lost World Series to St. Louis Cardinals, 4–3[47] *",—
1965,1965,AL,—,6th,77,85,0.475,25,—,—
1966,1966,AL,—,10th,70,89,0.44,26½,—,—
1967,1967,AL,—,9th,72,90,0.444,20,—,—
1968,1968,AL,—,5th,83,79,0.512,20,—,Stan Bahnsen(ROY)[34]
1969,1969,AL,East[g],5th,80,81,0.497,28½,—,—
1970,1970,AL,East,2nd,93,69,0.574,15,—,Thurman Munson(ROY)[34]
1971,1971,AL,East,4th,82,80,0.506,21,—,—
1972[h],1972,AL,East,4th,79,76,0.51,6½,—,—
1973,1973,AL,East,4th,80,82,0.494,17,—,—
1974,1974,AL,East,2nd,89,73,0.549,2,—,—
1975,1975,AL,East,3rd,83,77,0.519,12,—,—
1976,1976,AL *,East ^,1st,97,62,0.61,—,"Won ALCS vs. Kansas City Royals, 3–2",Thurman Munson(MVP)[23]
,,,,,,,,,"Lost World Series to Cincinnati Reds, 4–0[48] *",Dock Ellis(CPOY)[49]
1977 †,1977,AL *,East ^,1st,100,62,0.617,—,"Won ALCS vs. Kansas City Royals, 3–2",Sparky Lyle(CYA)[42]
,,,,,,,,,"Won World Series vs. Los Angeles Dodgers, 4–2[50] †",Reggie Jackson(WSMVP)[39]
1978 †,1978,AL *,East ^,1st[i],100,63,0.613,—,"Won ALCS vs. Kansas City Royals, 3–1",Ron Guidry(CYA)[42]
,,,,,,,,,"Won World Series vs. Los Angeles Dodgers, 4–2[51] †",Bucky Dent(WSMVP)[39]
1979,1979,AL,East,4th,89,71,0.556,13½,—,—
1980,1980,AL,East ^,1st,103,59,0.636,—,"Lost ALCS to Kansas City Royals, 3–0[52]",—
1981[j],1981,AL *,East ^,1st,34,22,0.607,—,"Won ALDS vs. Milwaukee Brewers, 3–2",Dave Righetti(ROY)[34]
,,,,,,,,,"Won ALCS vs. Oakland Athletics, 3–0",
,,,,6th,25,26,0.49,5,"Lost World Series to Los Angeles Dodgers, 4–2[53] *",
1982,1982,AL,East,5th,79,83,0.488,16,—,—
1983,1983,AL,East,3rd,91,71,0.562,7,—,—
1984,1984,AL,East,3rd,87,75,0.537,17,—,—
1985,1985,AL,East,2nd,97,64,0.602,2,—,Don Mattingly(MVP)[23]
1986,1986,AL,East,2nd,90,72,0.556,5½,—,—
1987,1987,AL,East,4th,89,73,0.549,9,—,—
1988,1988,AL,East,5th,85,76,0.528,3½,—,—
1989,1989,AL,East,5th,74,87,0.46,14½,—,—
1990,1990,AL,East,7th,67,95,0.414,21,—,—
1991,1991,AL,East,5th,71,91,0.438,20,—,—
1992,1992,AL,East,4th,76,86,0.469,20,—,—
1993,1993,AL,East,2nd,88,74,0.543,7,—,—
